store_id,uptime_last_hour_min,downtime_last_hour_min,uptime_last_day_hr,downtime_last_day_hr,uptime_last_week_hr,downtime_last_week_hr,now_utc
0df9efde-41eb-4883-a735-ddaac7184a08,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
b29e16d2-dae8-46b5-95b8-a1bea190bf65,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
15ea80e7-1ba3-4941-bc20-3878c92fa8b4,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
244d84a4-dc9a-46ae-b1e6-2e590732ce14,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
5de1dfd5-1f1e-460a-91f6-71c72ce4d3ba,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
da86ec4a-8565-4435-aebf-a9b850203299,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
1c5fdd59-cb6e-4763-a502-9a8baefb426e,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
ae95a608-76f0-4038-a9dc-43069229a03d,4,0,16.83,0.17,69.25,0.75,2024-10-15 05:26:00 UTC
56ad48ba-13bd-4224-85eb-5e2c3c1b154c,0,4,12.0,5.0,51.6,18.4,2024-10-15 05:26:00 UTC
29acd182-f9c2-49da-97ce-a63a5f0f095f,4,0,16.81,0.19,68.68,1.32,2024-10-15 05:26:00 UTC
23924ea4-f183-4633-b5f3-408eac835651,4,0,16.81,0.19,69.18,0.82,2024-10-15 05:26:00 UTC
0b2ffa63-52ad-489a-bbec-9f73de2b45e8,4,0,16.81,0.19,69.17,0.83,2024-10-15 05:26:00 UTC
162d8345-cae8-4692-bb02-77a44a657388,4,0,16.8,0.2,69.16,0.84,2024-10-15 05:26:00 UTC
6bea2a32-0722-405a-afec-f5f7cb67da88,4,0,16.65,0.35,60.89,9.11,2024-10-15 05:26:00 UTC
57681cb2-cbe2-4aa7-82ff-800a8a4c8ec1,4,0,14.17,2.83,58.13,11.87,2024-10-15 05:26:00 UTC
ab7ce011-ae25-4486-9c16-8e44a0a6236d,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
a3fed5bd-fb0c-47bd-a021-f11c62a0ab73,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
f01481f7-7f96-4bb2-af82-aac59d7e72cb,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
e4c955d0-a293-499b-9024-b8f793d3297f,0,4,0.0,0.5,0.0,3.5,2024-10-15 05:26:00 UTC
e5d35571-6e31-42b1-a597-1bea7a6aaaa7,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
6fd9fedf-0382-4bd6-9a2c-8021353b57d8,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
383682ea-7eb2-419f-80de-26542753328b,0,4,0.0,13.5,0.0,16.0,2024-10-15 05:26:00 UTC
f3c9f8f0-ae09-40c5-9020-17a4137c0001,0,0,1.02,2.8,5.55,11.21,2024-10-15 05:26:00 UTC
ea1b7ba9-148c-4efe-8fca-24506f6d78c4,0,0,1.0,2.82,5.49,11.28,2024-10-15 05:26:00 UTC
2b8bb820-a55d-4a49-a01c-1db6ee9d9ab1,0,0,1.0,2.82,5.48,11.29,2024-10-15 05:26:00 UTC
